timestamp,pitch,roll,heading,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure
2026-06-25 11:45:10,-66.2,76.6,313.3,0.3,0.8,0.62,-0.1462,0.1167,0.6283,0,0,0
2026-06-25 11:45:12,13.9,72.5,300.9,-0.77,-0.25,1.89,-0.1189,0.6567,0.3229,0,0,0
2026-06-25 11:45:14,-18.9,48.4,300.2,-2.36,-0.08,0.24,-0.3294,1.5064,-0.2683,0,0,0
2026-06-25 11:45:16,-15.1,71.9,294.8,-0.12,-0.21,0.8,-0.2542,-0.1647,0.5945,0,0,0
2026-06-25 11:45:18,-26.2,79.4,293.3,0.19,0.64,0.19,0.0305,-0.492,0.1287,0,0,0
2026-06-25 11:45:20,-22.1,78.8,292.2,-0.03,0.16,-0.03,0.0524,0.1156,0.0469,0,0,0
2026-06-25 11:45:22,40.0,43.9,248.6,-0.62,-0.31,0.59,-0.0436,0.8901,1.273,0,0,0
2026-06-25 11:45:24,83.7,-0.9,243.0,0.24,0.06,0.64,-0.0785,0.0382,0.1418,0,0,0
2026-06-25 11:45:26,83.8,-1.1,235.1,-0.23,0.6,0.05,0.0055,-0.0044,-0.0545,0,0,0
2026-06-25 11:45:28,83.8,-1.0,235.1,0.35,-0.1,0.53,0.0055,-0.0076,-0.0382,0,0,0
2026-06-25 11:45:30,82.9,-0.6,235.4,-0.01,-0.23,0.21,-0.0207,0.0065,0.0164,0,0,0
2026-06-25 11:45:32,82.2,-0.3,235.6,0.05,-0.17,0.16,0.0196,-0.0033,-0.0164,0,0,0
2026-06-25 11:45:34,81.9,-0.2,235.8,0,-0.12,0.12,-0.0022,-0.0022,0.0164,0,0,0
2026-06-25 11:45:36,81.9,-0.2,235.7,0.05,-0.16,0.1,0.0055,-0.0055,-0.0087,0,0,0
2026-06-25 11:45:38,81.9,-0.2,235.7,0.03,-0.16,0.13,-0.0065,0.0033,0.0022,0,0,0
2026-06-25 11:45:40,81.9,-0.2,234.8,0,-0.17,0.12,0.0044,-0.0011,-0.0033,0,0,0
2026-06-25 11:45:42,81.9,-0.2,234.8,0.03,-0.26,0.13,0.0109,-0.0087,0.0022,0,0,0
2026-06-25 11:45:44,82.2,0,223.4,-0.36,-0.31,0.29,0.0087,-0.709,0.0502,0,0,0
2026-06-25 11:45:46,82.8,0.2,202.0,0.09,0.02,0.28,-0.012,-0.492,0.0033,0,0,0
2026-06-25 11:45:48,83.4,0.2,177.4,-0.09,-0.54,0.42,-0.0436,-0.0382,0.0415,0,0,0
2026-06-25 11:45:50,83.9,-0.1,138.6,-0.13,-0.05,0.44,-0.0207,-0.6567,0.0731,0,0,0
2026-06-25 11:45:52,84.2,0.3,120.8,0.09,0.26,-0.04,0.0436,-0.0185,-0.0938,0,0,0
2026-06-25 11:45:54,84.1,0.2,120.9,-0.01,0.11,0.19,-0.0415,0.0087,0.0415,0,0,0
2026-06-25 11:45:56,83.5,0.4,121.1,0.01,-0.24,0.22,-0.0153,0.0076,0.0447,0,0,0
2026-06-25 11:45:58,83.4,0.8,109.6,0.88,0.07,0.05,-0.2029,-0.0338,-0.3011,0,0,0
2026-06-25 11:46:00,83.1,0.4,106.8,0.11,0.14,1.45,-0.1985,-0.0164,-0.1854,0,0,0
2026-06-25 11:46:02,75.8,2.5,75.7,-1.61,-1.01,0.53,0.8716,-1.6068,-0.1734,0,0,0
2026-06-25 11:46:04,17.9,72.7,62.6,-0.51,-0.08,0.44,-0.1745,0.6447,0.5596,0,0,0
2026-06-25 11:46:06,23.6,43.7,117.2,-0.25,-0.05,0.1,2.6213,-0.696,1.5184,0,0,0
2026-06-25 11:46:08,50.7,77.1,87.6,0.07,-0.01,0.05,0.06,0.2607,-0.1113,0,0,0
2026-06-25 11:46:10,5.2,83.8,80.2,0,-0.05,0.03,0.0033,0.0676,0.1058,0,0,0
2026-06-25 11:46:12,5.2,83.5,79.5,0,0,-0.01,0.0011,-0.0011,0.0196,0,0,0
2026-06-25 11:46:14,5.2,83.4,79.4,0.03,-0.02,-0.01,0,-0.0011,0.0065,0,0,0
2026-06-25 11:46:16,5.2,83.5,79.5,0,-0.01,-0.07,0,-0.0011,-0.0055,0,0,0
2026-06-25 11:46:18,5.2,83.5,79.5,0.01,0.01,-0.01,0,-0.0011,0,0,0,0
2026-06-25 11:46:20,5.2,83.5,79.5,0,0,-0.05,0.0011,-0.0011,-0.0033,0,0,0
2026-06-25 11:46:22,5.2,83.5,79.5,0.01,0,-0.13,0.0011,0,-0.0022,0,0,0
2026-06-25 11:46:24,5.2,83.5,79.5,0.01,0,-0.05,0,-0.0011,0,0,0,0
2026-06-25 11:46:26,5.2,83.5,79.5,0.03,0,-0.03,-0.0011,0.0044,0,0,0,0
2026-06-25 11:46:28,5.2,83.5,79.5,-0.01,0.01,-0.03,0,0.0022,0.0022,0,0,0
