timestamp,pitch,roll,heading,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure
2026-06-25 09:44:13,-2.4,-1.9,0.2,0,0,0.02,0.0011,-0.0011,0.0011,0,0,0
2026-06-25 09:44:15,-2.4,-1.9,0.2,0,0,0.05,-0.0011,-0.0011,0,0,0,0
2026-06-25 09:44:17,-2.4,-1.9,0.2,0,0.01,0,0,0,0,0,0,0
2026-06-25 09:44:19,-2.4,-1.9,0.2,-0.02,0,0.08,-0.0011,0,0.0011,0,0,0
2026-06-25 09:44:21,-2.4,-1.9,0.2,0,-0.01,0,0,0.0011,-0.0011,0,0,0
2026-06-25 09:44:23,29.6,-7.0,26.8,0.24,-0.61,-0.84,0.0862,0.9447,0.1222,0,0,0
2026-06-25 09:44:25,22.4,-21.2,9.9,0.05,-0.15,0.07,-0.1473,-0.0644,-0.3196,0,0,0
2026-06-25 09:44:27,22.8,-22.1,124.5,0.09,-0.15,-0.1,0.0251,0.0087,0.0338,0,0,0
2026-06-25 09:44:29,22.9,-22.1,124.8,0,-0.1,-0.01,0.0109,0.0055,0.0076,0,0,0
2026-06-25 09:44:31,22.9,-22.0,125.0,-0.03,-0.03,-0.05,0.0098,-0.0022,0.0142,0,0,0
2026-06-25 09:44:33,-1.3,-43.5,107.2,-0.54,0.67,-0.17,-0.4287,-1.0756,0.2607,0,0,0
2026-06-25 09:44:35,36.7,-27.4,151.2,0.91,0.64,-0.21,0.4581,1.0341,1.6548,0,0,0
2026-06-25 09:44:37,32.1,-37.4,133.5,0.01,0.47,-0.15,0.0153,0.0011,-0.0164,0,0,0
2026-06-25 09:44:39,31.8,-38.7,133.9,-0.18,0.04,0.04,0.0065,0.0185,0.0109,0,0,0
2026-06-25 09:44:41,31.3,-39.2,133.6,-0.27,0,0.11,-0.0284,-0.06,-0.1342,0,0,0
2026-06-25 09:44:43,3.6,-7.6,120.6,0,0.22,-0.08,0.0022,-0.0185,-0.0087,0,0,0
