timestamp,pitch,roll,heading,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure
2026-06-25 11:51:03,51.6,81.6,99.9,0.03,0.1,0.09,0.0011,0.0011,-0.0033,0,0,0
2026-06-25 11:51:05,4.9,61.4,106.2,-0.84,0.33,0.58,-0.0273,-0.3054,-0.1844,0,0,0
2026-06-25 11:51:07,138.4,60.2,69.6,-1.26,-0.25,-0.5,0.336,0.3774,0.7799,0,0,0
2026-06-25 11:51:09,150.3,72.6,71.0,-0.2,-0.37,-0.56,0.3065,-0.4222,0.817,0,0,0
2026-06-25 11:51:11,-100.9,56.4,83.3,-0.92,0.14,-0.41,0.5247,1.2468,-1.1639,0,0,0
2026-06-25 11:51:13,-124.4,69.8,26.7,-0.8,-0.99,0.93,1.9199,-1.3384,-0.5858,0,0,0
2026-06-25 11:51:15,-15.6,52.8,115.4,0.42,0.16,-0.98,-4.9262,0.0633,-2.5613,0,0,0
2026-06-25 11:51:17,107.4,74.3,80.8,-0.25,0.04,-0.39,-0.1604,-0.0894,-0.5051,0,0,0
2026-06-25 11:51:19,12.5,59.6,83.5,-0.92,0.18,0.75,-0.0589,2.5165,-0.0742,0,0,0
2026-06-25 11:51:21,50.2,72.4,82.1,1.54,-0.66,-0.46,-0.228,-0.1822,-0.7134,0,0,0
2026-06-25 11:51:23,-58.0,63.2,129.0,-2.9,-0.16,-0.97,0.817,0.4385,-2.6518,0,0,0
2026-06-25 11:51:25,78.7,0,347.1,0.73,-6.08,5.71,1.4246,0.5334,1.0625,0,0,0
2026-06-25 11:51:27,81.9,-1.3,346.7,0.58,-0.63,-1.07,-0.1276,0.0055,0.0185,0,0,0
2026-06-25 11:51:29,81.2,-1.2,346.9,0.33,-0.2,-0.09,-0.264,0.0131,0.0436,0,0,0
2026-06-25 11:51:31,81.0,-0.3,347.8,0.33,-0.05,0.03,-0.1669,0.0142,0.0524,0,0,0
2026-06-25 11:51:33,81.2,0.6,348.8,0.25,0.06,0.16,-0.0633,0.0087,0.024,0,0,0
2026-06-25 11:51:35,81.6,1.2,349.4,0.11,0.03,0.13,-0.0044,0.0033,-0.0011,0,0,0
2026-06-25 11:51:37,81.8,1.4,349.6,0.07,-0.05,0.01,0.0109,0.0011,-0.0055,0,0,0
2026-06-25 11:51:39,81.8,1.4,349.6,0.16,-0.1,-0.14,-0.0131,0.0076,0.0196,0,0,0
2026-06-25 11:51:41,-67.5,61.3,106.9,-2.41,-0.72,-0.48,-0.2018,-0.9719,0.2116,0,0,0
2026-06-25 11:51:43,-104.1,73.8,127.3,1.5,0.53,-1.05,-4.9011,0.9523,-0.3851,0,0,0
2026-06-25 11:51:45,-150.8,71.1,165.6,0.06,0.01,0.23,-1.4301,-0.8116,0.4603,0,0,0
2026-06-25 11:51:47,-9.8,80.4,270.2,0.16,0.15,0.13,-0.4178,0.1331,0.12,0,0,0
2026-06-25 11:51:49,48.9,78.4,136.4,-0.17,-1.18,-0.81,-4.011,0.7396,-1.5064,0,0,0
2026-06-25 11:51:51,-176.6,86.6,169.8,-0.21,0.25,-0.11,0.0774,-0.0262,0.1353,0,0,0
2026-06-25 11:51:53,-176.8,86.4,169.6,-0.09,-0.22,-0.09,-0.0022,-0.0011,0.0709,0,0,0
2026-06-25 11:51:55,-176.4,86.1,170.0,0.04,0.01,-0.07,0.0022,-0.0065,-0.0753,0,0,0
2026-06-25 11:51:57,-176.1,85.8,170.3,0.01,0.06,-0.06,-0.0011,0.0065,0.0262,0,0,0
2026-06-25 11:51:59,-176.2,85.8,170.2,-0.02,-0.15,-0.09,0.0011,0.0033,0.012,0,0,0
2026-06-25 11:52:01,-175.9,85.6,170.5,-0.03,-0.05,-0.11,-0.0011,0.0011,-0.024,0,0,0
