timestamp,pitch,roll,heading,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure
2026-06-25 12:27:25,44.2,80.6,0.9,0.05,0.04,-0.22,0.0371,-0.0742,-0.1614,0,0,0
2026-06-25 12:27:27,-172.6,76.2,356.6,-2.95,0.1,-0.35,0.4745,2.3104,1.501,0,0,0
2026-06-25 12:27:29,64.2,68.0,355.6,-4.2,1.25,-1.06,-0.672,0.1396,2.2362,0,0,0
2026-06-25 12:27:31,106.1,70.9,81.1,-0.76,-0.03,-0.23,-0.4712,-1.0799,-1.5392,0,0,0
2026-06-25 12:27:33,62.6,58.9,164.5,0.2,-0.35,-0.21,0.7952,-0.1189,0.6545,0,0,0
2026-06-25 12:27:35,-19.4,66.3,23.4,0.06,0.29,-0.56,0.8421,-0.288,-0.1025,0,0,0
2026-06-25 12:27:37,-24.4,67.3,85.1,0.36,-0.63,-0.47,-1.7824,-0.252,0.036,0,0,0
2026-06-25 12:27:39,-9.4,61.7,323.5,0.3,0.36,-0.19,0.1298,-0.0262,0.6109,0,0,0
2026-06-25 12:27:41,1.4,81.0,330.8,-0.21,0.07,-0.02,-0.0447,0.0884,0.1287,0,0,0
2026-06-25 12:27:43,-6.1,79.8,307.4,-0.65,-0.52,-0.46,0.2225,-0.6381,-0.7461,0,0,0
2026-06-25 12:27:45,-18.1,63.8,324.1,-0.15,0.48,-0.38,-2.3464,-0.0611,-0.3153,0,0,0
2026-06-25 12:27:47,-15.0,75.6,333.4,-0.05,0.15,0.1,-0.0545,0.3153,0.0731,0,0,0
2026-06-25 12:27:49,-15.1,77.8,332.8,-0.05,-0.09,-0.01,0.0098,-0.0622,-0.0022,0,0,0
2026-06-25 12:27:51,-17.8,79.5,332.8,0,-0.06,-0.01,-0.0011,0.0044,0.0098,0,0,0
2026-06-25 12:27:53,-18.2,79.4,332.9,-0.11,-0.06,0,0.0011,0.0044,0.0076,0,0,0
2026-06-25 12:27:55,0.6,76.4,319.9,0.16,-0.28,-0.14,-0.1658,0.0425,-0.8443,0,0,0
2026-06-25 12:27:57,-4.4,83.2,335.4,-1.94,-0.45,0.17,-0.2574,0.2891,0.1636,0,0,0
2026-06-25 12:27:59,2.1,87.2,345.4,-0.85,-0.23,2.98,0.1985,-1.7541,-0.4778,0,0,0
2026-06-25 12:28:01,-89.1,13.1,183.4,0.29,-0.36,-0.77,-0.0556,0.024,0.3054,0,0,0
2026-06-25 12:28:03,-89.1,13.2,211.3,0.13,-0.18,-0.17,-0.0535,0.0076,-0.0774,0,0,0
2026-06-25 12:28:05,-89.2,13.3,211.6,0.01,-0.14,-0.05,0.0349,-0.0109,0.0535,0,0,0
2026-06-25 12:28:07,-89.2,13.2,211.6,-0.11,-0.16,0,-0.0131,0.0065,-0.0295,0,0,0
2026-06-25 12:28:09,-90.5,13.0,212.3,-0.16,-0.02,-0.42,0.0993,-0.2334,0.0185,0,0,0
2026-06-25 12:28:11,-91.3,14.3,241.6,0.09,-0.12,0.02,0.0076,-0.0022,-0.0076,0,0,0
2026-06-25 12:28:13,-89.3,14.2,238.8,0.02,-0.14,0.14,0.0829,-0.0196,0.0109,0,0,0
2026-06-25 12:28:15,-90.7,14.6,242.0,-0.14,0.11,-0.36,-0.2847,-0.4352,-0.0218,0,0,0
2026-06-25 12:28:17,-89.4,14.8,246.5,0.06,-0.24,0.17,-0.0196,0.0044,-0.0131,0,0,0
2026-06-25 12:28:19,-89.6,14.9,246.3,0.04,-0.13,0.06,-0.0033,0.0076,-0.0022,0,0,0
2026-06-25 12:28:21,-95.6,21.9,324.6,-0.18,0.18,-0.08,-0.0415,0.2291,-0.1309,0,0,0
2026-06-25 12:28:23,-98.9,30.4,223.4,-0.11,-0.05,-1.02,0.0316,-0.7559,-0.6567,0,0,0
2026-06-25 12:28:25,-90.5,16.7,244.1,-0.49,-0.25,0.6,-0.2094,0.2454,-0.0371,0,0,0
2026-06-25 12:28:27,-24.9,57.9,226.6,-0.88,0.12,-1.62,-0.0011,1.1137,1.2719,0,0,0
