timestamp,temp_c,hum_pct,press_hpa
2026-06-09 18:38:58,26.22,49.74,999.33
2026-06-09 18:39:02,26.23,49.78,999.3
2026-06-09 18:39:08,26.21,49.68,999.31
2026-06-09 18:39:11,25.9,49.78,999.34
2026-06-09 18:39:13,26.09,49.66,998.84
2026-06-09 18:39:16,26.2,49.98,999.32
2026-06-09 18:39:18,25.92,49.73,999.35
2026-06-09 18:39:21,26.21,49.89,999.32
2026-06-09 18:39:23,26.23,51.07,999.31
2026-06-09 18:39:26,26.28,50.55,999.31
2026-06-09 18:39:28,26.28,50.34,999.33
2026-06-09 18:39:31,26.28,49.89,999.35
2026-06-09 18:39:33,26.27,49.7,999.32
2026-06-09 18:39:36,26.26,49.4,999.29
2026-06-09 18:39:38,26.25,49.79,999.33
2026-06-09 18:39:41,26.24,49.6,999.31
2026-06-09 18:39:43,26.23,49.58,999.36
2026-06-09 18:39:47,26.2,49.52,999.32
2026-06-09 18:39:48,26.21,49.26,999.31
2026-06-09 18:39:52,26.19,49.36,999.33
2026-06-09 18:39:53,26.2,49.43,999.34
2026-06-09 18:39:57,26.18,49.75,999.3
2026-06-09 18:39:58,26.18,49.83,999.3
2026-06-09 18:40:02,26.16,50.0,999.33
2026-06-09 18:40:03,26.16,49.73,999.32
2026-06-09 18:40:07,26.15,49.94,999.32
2026-06-09 18:40:09,26.14,49.99,999.33
2026-06-09 18:40:12,26.12,50.17,999.32
2026-06-09 18:40:14,26.12,50.19,999.32
2026-06-09 18:40:17,26.1,50.09,999.31
2026-06-09 18:40:19,26.09,50.09,999.32
2026-06-09 18:40:22,26.08,50.29,999.33
2026-06-09 18:40:24,26.07,50.43,999.29
2026-06-09 18:40:28,26.06,50.09,999.31
2026-06-09 18:40:29,26.06,50.29,999.36
2026-06-09 18:40:33,26.04,50.13,999.33
2026-06-09 18:40:34,26.03,50.46,999.32
2026-06-09 18:40:38,26.02,50.49,999.32
2026-06-09 18:40:39,26.01,50.54,999.33
2026-06-09 18:40:43,26.0,50.27,999.33
2026-06-09 18:40:44,26.0,50.74,999.34
2026-06-09 18:40:48,25.98,50.74,999.32
2026-06-09 18:40:49,25.98,50.75,999.3
2026-06-09 18:40:53,25.98,50.97,999.33
2026-06-09 18:40:55,25.97,51.05,999.32
2026-06-09 18:40:58,25.97,50.77,999.35
2026-06-09 18:41:00,25.98,50.8,999.32
2026-06-09 18:41:03,25.99,50.62,999.35
2026-06-09 18:41:05,25.98,50.4,999.33
2026-06-09 18:41:08,26.0,50.64,999.34
2026-06-09 18:41:10,26.01,50.46,999.35
2026-06-09 18:41:13,26.02,50.52,999.31
2026-06-09 18:41:15,26.01,50.74,999.35
2026-06-09 18:41:18,26.01,50.83,999.31
2026-06-09 18:41:20,26.01,51.15,999.31
2026-06-09 18:41:23,26.01,50.73,999.35
2026-06-09 18:41:25,26.01,50.76,999.35
2026-06-09 18:41:28,26.0,50.98,999.35
2026-06-09 18:41:31,26.0,51.01,999.31
2026-06-09 18:41:33,26.01,50.96,999.33
2026-06-09 18:41:35,26.01,50.8,999.32
2026-06-09 18:41:41,26.02,50.72,999.35
2026-06-09 18:41:46,26.01,51.16,999.35
2026-06-09 18:41:51,26.05,50.73,999.36
2026-06-09 18:41:56,26.12,50.75,999.36
2026-06-09 18:42:01,26.15,50.79,999.32
2026-06-09 18:42:06,26.15,50.3,999.36
2026-06-09 18:42:11,26.14,50.41,999.32
2026-06-09 18:42:16,26.14,50.75,999.33
2026-06-09 18:42:21,26.13,50.61,999.34
2026-06-09 18:42:27,26.13,50.9,999.32
2026-06-09 18:42:31,26.14,50.37,999.34
2026-06-09 18:42:36,26.13,50.52,999.34
2026-06-09 18:42:42,26.12,50.55,999.31
2026-06-09 18:42:47,26.11,50.83,999.36
2026-06-09 18:42:52,26.09,50.42,999.36
2026-06-09 18:42:57,26.07,50.78,999.35
2026-06-09 18:43:02,26.07,50.93,999.37
2026-06-09 18:43:07,26.04,50.67,999.36
2026-06-09 18:43:12,26.01,51.15,999.34
2026-06-09 18:43:17,25.99,51.24,999.36
2026-06-09 18:43:22,25.98,51.08,999.34
2026-06-09 18:43:28,25.96,51.02,999.33
2026-06-09 18:43:33,25.95,51.05,999.34
2026-06-09 18:43:38,25.96,51.15,999.3
