timestamp,diff_pressure_pa,temp_c
2026-06-09 18:38:58,0.0,0.0
2026-06-09 18:38:59,0.0,0.0
2026-06-09 18:39:00,0.0,0.0
2026-06-09 18:39:01,0.0,0.0
2026-06-09 18:39:03,0.0,0.0
2026-06-09 18:39:04,0.0,0.0
2026-06-09 18:39:05,0.0,0.0
2026-06-09 18:39:06,0.0,0.0
2026-06-09 18:39:07,0.0,0.0
2026-06-09 18:39:09,0.0,0.0
2026-06-09 18:39:10,0.0,0.0
2026-06-09 18:39:10,0.0,0.0
2026-06-09 18:39:12,0.0,0.0
2026-06-09 18:39:12,0.0,0.0
2026-06-09 18:39:13,0.0,0.0
2026-06-09 18:39:13,0.0,0.0
2026-06-09 18:39:14,0.0,0.0
2026-06-09 18:39:14,0.0,0.0
2026-06-09 18:39:14,0.0,0.0
2026-06-09 18:39:15,0.0,0.0
2026-06-09 18:39:16,0.0,0.0
2026-06-09 18:39:16,0.0,0.0
2026-06-09 18:39:17,0.0,0.0
2026-06-09 18:39:17,0.0,0.0
2026-06-09 18:39:18,0.0,0.0
2026-06-09 18:39:19,0.0,0.0
2026-06-09 18:39:20,0.0,0.0
2026-06-09 18:39:20,0.0,0.0
2026-06-09 18:39:20,0.0,0.0
2026-06-09 18:39:21,0.0,0.0
2026-06-09 18:39:22,0.0,0.0
2026-06-09 18:39:22,0.0,0.0
2026-06-09 18:39:23,0.0,0.0
2026-06-09 18:39:24,0.0,0.0
2026-06-09 18:39:24,0.0,0.0
2026-06-09 18:39:24,0.0,0.0
2026-06-09 18:39:25,0.0,0.0
2026-06-09 18:39:25,0.0,0.0
2026-06-09 18:39:26,0.0,0.0
2026-06-09 18:39:27,0.0,0.0
2026-06-09 18:39:27,0.0,0.0
2026-06-09 18:39:28,0.0,0.0
2026-06-09 18:39:29,0.0,0.0
2026-06-09 18:39:29,0.0,0.0
2026-06-09 18:39:30,0.0,0.0
2026-06-09 18:39:30,0.0,0.0
2026-06-09 18:39:31,0.0,0.0
2026-06-09 18:39:31,0.0,0.0
2026-06-09 18:39:32,0.0,0.0
2026-06-09 18:39:32,0.0,0.0
2026-06-09 18:39:33,0.0,0.0
2026-06-09 18:39:34,0.0,0.0
2026-06-09 18:39:34,0.0,0.0
2026-06-09 18:39:34,0.0,0.0
2026-06-09 18:39:35,0.0,0.0
2026-06-09 18:39:35,0.0,0.0
2026-06-09 18:39:36,0.0,0.0
2026-06-09 18:39:36,0.0,0.0
2026-06-09 18:39:37,0.0,0.0
2026-06-09 18:39:37,0.0,0.0
2026-06-09 18:39:38,0.0,0.0
2026-06-09 18:39:39,0.0,0.0
2026-06-09 18:39:39,0.0,0.0
2026-06-09 18:39:40,0.0,0.0
2026-06-09 18:39:40,0.0,0.0
2026-06-09 18:39:41,0.0,0.0
2026-06-09 18:39:41,0.0,0.0
2026-06-09 18:39:42,0.0,0.0
2026-06-09 18:39:42,0.0,0.0
2026-06-09 18:39:43,0.0,0.0
2026-06-09 18:39:44,0.0,0.0
2026-06-09 18:39:44,0.0,0.0
2026-06-09 18:39:45,0.0,0.0
2026-06-09 18:39:45,0.0,0.0
2026-06-09 18:39:46,0.0,0.0
2026-06-09 18:39:46,0.0,0.0
2026-06-09 18:39:47,0.0,0.0
2026-06-09 18:39:48,0.0,0.0
2026-06-09 18:39:48,0.0,0.0
2026-06-09 18:39:49,0.0,0.0
2026-06-09 18:39:49,0.0,0.0
2026-06-09 18:39:49,0.0,0.0
2026-06-09 18:39:50,0.0,0.0
2026-06-09 18:39:50,0.0,0.0
2026-06-09 18:39:51,0.0,0.0
2026-06-09 18:39:51,0.0,0.0
2026-06-09 18:39:52,0.0,0.0
2026-06-09 18:39:53,0.0,0.0
2026-06-09 18:39:54,0.0,0.0
2026-06-09 18:39:54,0.0,0.0
2026-06-09 18:39:54,0.0,0.0
2026-06-09 18:39:55,0.0,0.0
2026-06-09 18:39:55,0.0,0.0
2026-06-09 18:39:56,0.0,0.0
2026-06-09 18:39:56,0.0,0.0
2026-06-09 18:39:57,0.0,0.0
2026-06-09 18:39:58,0.0,0.0
2026-06-09 18:39:59,0.0,0.0
