timestamp,voltage_v,current_ma,power_mw,percentage
2026-06-09 18:38:59,29.04,-612.8,117.2,100.0
2026-06-09 18:39:07,29.04,-612.8,117.2,100.0
2026-06-09 18:39:12,29.04,-612.8,117.2,100.0
2026-06-09 18:39:17,29.04,-612.8,117.2,100.0
2026-06-09 18:39:20,29.04,-612.8,117.2,100.0
2026-06-09 18:39:27,29.04,-612.8,117.2,100.0
2026-06-09 18:39:30,29.04,-612.8,117.2,100.0
2026-06-09 18:39:37,29.04,-612.8,117.2,100.0
2026-06-09 18:39:41,29.04,-612.8,117.2,100.0
2026-06-09 18:39:47,29.04,-612.8,117.2,100.0
2026-06-09 18:39:51,29.04,-612.8,117.2,100.0
2026-06-09 18:39:57,29.04,-612.8,117.2,100.0
2026-06-09 18:40:01,29.04,-612.8,117.2,100.0
2026-06-09 18:40:07,29.04,-612.8,117.2,100.0
2026-06-09 18:40:11,29.04,-612.8,117.2,100.0
2026-06-09 18:40:17,29.04,-612.8,117.2,100.0
2026-06-09 18:40:21,29.04,-612.8,117.2,100.0
2026-06-09 18:40:27,29.04,-612.8,117.2,100.0
2026-06-09 18:40:31,29.04,-612.8,117.2,100.0
2026-06-09 18:40:37,29.04,-612.8,117.2,100.0
2026-06-09 18:40:41,29.04,-612.8,117.2,100.0
2026-06-09 18:40:47,29.04,-612.8,117.2,100.0
2026-06-09 18:40:51,29.04,-612.8,117.2,100.0
2026-06-09 18:40:58,29.04,-612.8,117.2,100.0
2026-06-09 18:41:01,29.04,-612.8,117.2,100.0
2026-06-09 18:41:08,29.04,-612.8,117.2,100.0
2026-06-09 18:41:11,29.04,-612.8,117.2,100.0
2026-06-09 18:41:18,29.04,-612.8,117.2,100.0
2026-06-09 18:41:21,29.04,-612.8,117.2,100.0
2026-06-09 18:41:28,29.04,-612.8,117.2,100.0
2026-06-09 18:41:31,29.04,-612.8,117.2,100.0
2026-06-09 18:41:38,29.04,-612.8,117.2,100.0
2026-06-09 18:41:48,29.04,-612.8,117.2,100.0
2026-06-09 18:41:58,29.04,-612.8,117.2,100.0
2026-06-09 18:42:08,29.04,-612.8,117.2,100.0
2026-06-09 18:42:18,29.04,-612.8,117.2,100.0
2026-06-09 18:42:28,29.04,-612.8,117.2,100.0
2026-06-09 18:42:39,29.04,-612.8,117.2,100.0
2026-06-09 18:42:49,29.04,-612.8,117.2,100.0
2026-06-09 18:42:59,29.04,-612.8,117.2,100.0
2026-06-09 18:43:09,29.04,-612.8,117.2,100.0
2026-06-09 18:43:19,29.04,-612.8,117.2,100.0
2026-06-09 18:43:29,29.04,-612.8,117.2,100.0
2026-06-09 18:43:40,29.04,-612.8,117.2,100.0
