timestamp,pitch,roll,yaw
2026-06-09 18:38:57,-104.69,0.88,359.88
2026-06-09 18:38:59,-104.56,1.19,0.0
2026-06-09 18:39:00,-104.56,1.19,0.06
2026-06-09 18:39:00,-104.5,1.25,0.0
2026-06-09 18:39:01,-104.44,1.25,0.0
2026-06-09 18:39:01,-104.31,0.88,0.0
2026-06-09 18:39:03,-104.19,1.25,359.94
2026-06-09 18:39:03,-104.12,1.19,359.94
2026-06-09 18:39:04,-104.0,1.19,359.94
2026-06-09 18:39:04,-104.0,1.19,359.88
2026-06-09 18:39:05,-104.12,1.12,359.81
2026-06-09 18:39:05,-104.19,1.12,359.81
2026-06-09 18:39:06,-104.19,1.12,359.81
2026-06-09 18:39:06,-104.19,1.25,359.81
2026-06-09 18:39:07,-104.19,1.31,359.75
2026-06-09 18:39:07,-104.19,1.25,359.75
2026-06-09 18:39:08,-104.19,1.31,359.69
2026-06-09 18:39:09,0.0,0.0,0.0
2026-06-09 18:39:10,-104.88,0.94,359.94
2026-06-09 18:39:10,-104.88,1.06,0.0
2026-06-09 18:39:11,-104.88,1.06,0.0
2026-06-09 18:39:11,-104.81,1.0,0.25
2026-06-09 18:39:11,-104.81,0.81,0.38
2026-06-09 18:39:12,-104.81,0.81,0.31
2026-06-09 18:39:12,-104.75,0.94,0.25
2026-06-09 18:39:12,-104.75,0.94,0.25
2026-06-09 18:39:13,-104.69,0.94,0.25
2026-06-09 18:39:14,-104.81,1.12,0.31
2026-06-09 18:39:14,-104.69,1.06,0.25
2026-06-09 18:39:14,-104.75,1.12,0.31
2026-06-09 18:39:14,-104.69,1.12,0.25
2026-06-09 18:39:15,-104.69,1.12,0.31
2026-06-09 18:39:15,-104.62,1.06,0.31
2026-06-09 18:39:15,-104.75,1.25,0.38
2026-06-09 18:39:16,-104.81,1.31,0.44
2026-06-09 18:39:16,-104.25,1.69,2.25
2026-06-09 18:39:17,-104.12,1.56,2.75
2026-06-09 18:39:17,-104.12,1.56,2.75
2026-06-09 18:39:17,-104.12,1.56,2.69
2026-06-09 18:39:17,-104.12,1.56,2.69
2026-06-09 18:39:18,-104.12,1.56,2.69
2026-06-09 18:39:18,-104.12,1.56,2.69
2026-06-09 18:39:19,-104.12,1.56,2.69
2026-06-09 18:39:19,-104.12,1.62,2.62
2026-06-09 18:39:20,-104.19,1.12,2.31
2026-06-09 18:39:20,-104.19,1.06,2.38
2026-06-09 18:39:20,-104.19,1.25,2.5
2026-06-09 18:39:20,-104.06,1.44,2.5
2026-06-09 18:39:21,-104.12,1.31,2.38
2026-06-09 18:39:21,-104.12,1.31,2.38
2026-06-09 18:39:22,-103.81,1.19,2.44
2026-06-09 18:39:22,-103.75,1.31,2.5
2026-06-09 18:39:23,-103.5,1.0,8.94
2026-06-09 18:39:23,-104.0,0.12,9.5
2026-06-09 18:39:23,-100.94,2.56,4.0
2026-06-09 18:39:24,-100.62,3.0,2.81
2026-06-09 18:39:24,-100.38,3.62,358.88
2026-06-09 18:39:24,-100.19,3.25,0.0
2026-06-09 18:39:25,-100.31,3.38,359.25
2026-06-09 18:39:25,-100.25,3.31,359.5
2026-06-09 18:39:25,-100.19,3.31,359.69
2026-06-09 18:39:25,-100.19,3.31,359.69
2026-06-09 18:39:26,-100.31,3.62,358.38
2026-06-09 18:39:26,-100.38,3.69,358.06
2026-06-09 18:39:27,-100.44,3.69,358.06
2026-06-09 18:39:27,-100.44,3.69,358.06
2026-06-09 18:39:27,-100.44,3.69,358.06
2026-06-09 18:39:27,-100.38,3.69,358.0
2026-06-09 18:39:28,-100.38,3.56,358.12
2026-06-09 18:39:28,-100.38,3.62,358.06
2026-06-09 18:39:29,-100.38,3.62,358.06
2026-06-09 18:39:29,-100.38,3.62,358.06
2026-06-09 18:39:29,-100.38,3.62,358.06
2026-06-09 18:39:29,-100.38,3.62,358.06
2026-06-09 18:39:30,-100.38,3.62,358.06
2026-06-09 18:39:30,-100.38,3.62,358.06
2026-06-09 18:39:31,-100.38,3.62,358.06
2026-06-09 18:39:31,-100.38,3.62,358.06
2026-06-09 18:39:31,-100.38,3.62,358.06
2026-06-09 18:39:32,-100.38,3.62,358.06
2026-06-09 18:39:32,-100.38,3.62,358.06
2026-06-09 18:39:32,-100.38,3.62,358.06
2026-06-09 18:39:32,-100.38,3.62,358.06
2026-06-09 18:39:33,-100.38,3.62,358.06
2026-06-09 18:39:33,-100.38,3.62,358.06
2026-06-09 18:39:34,-100.38,3.62,358.06
2026-06-09 18:39:34,-100.38,3.62,358.06
2026-06-09 18:39:34,-100.38,3.62,358.06
2026-06-09 18:39:34,-100.38,3.62,358.06
2026-06-09 18:39:35,-100.38,3.62,358.06
2026-06-09 18:39:35,-100.38,3.62,358.06
2026-06-09 18:39:35,-100.38,3.62,358.06
2026-06-09 18:39:35,-100.38,3.62,358.06
2026-06-09 18:39:36,-100.38,3.62,358.06
2026-06-09 18:39:36,-100.38,3.62,358.06
2026-06-09 18:39:37,-100.38,3.62,358.06
2026-06-09 18:39:37,-100.38,3.62,358.06
2026-06-09 18:39:37,-100.38,3.62,358.06
2026-06-09 18:39:38,-100.38,3.62,358.06
2026-06-09 18:39:38,-100.38,3.62,358.06
2026-06-09 18:39:38,-100.38,3.62,358.06
2026-06-09 18:39:39,-100.38,3.62,358.06
2026-06-09 18:39:39,-100.38,3.62,358.25
2026-06-09 18:39:39,-100.38,3.62,358.25
2026-06-09 18:39:39,-100.38,3.69,358.25
2026-06-09 18:39:40,-100.31,3.62,358.31
2026-06-09 18:39:40,-100.31,3.62,358.31
2026-06-09 18:39:40,-100.31,3.62,358.31
2026-06-09 18:39:41,-100.31,3.62,358.31
2026-06-09 18:39:41,-100.31,3.62,358.31
2026-06-09 18:39:41,-100.31,3.62,358.31
2026-06-09 18:39:42,-100.31,3.62,358.31
2026-06-09 18:39:42,-100.31,3.62,358.31
2026-06-09 18:39:42,-100.31,3.62,358.31
2026-06-09 18:39:43,-100.31,3.62,358.31
2026-06-09 18:39:43,-100.31,3.62,358.31
2026-06-09 18:39:43,-100.31,3.62,358.31
2026-06-09 18:39:44,-100.31,3.62,358.31
2026-06-09 18:39:44,-100.31,3.62,358.31
